period,original_pick,random_pick,uniform_pick,neighbor_pick,frequency_pick,original_hits,random_hits,uniform_hits,neighbor_hits,frequency_hits
115017661,"[9, 38, 79]","[5, 29, 79]","[23, 36, 39]","[25, 57, 78]","[38, 43, 64]",0,1,1,1,1
115017662,"[1, 30, 70]","[43, 46, 66]","[5, 49, 70]","[18, 60, 71]","[38, 43, 64]",2,0,0,0,0
115017663,"[1, 10, 51]","[22, 37, 57]","[15, 44, 50]","[3, 22, 58]","[1, 52, 64]",0,0,1,1,0
115017664,"[15, 40, 65]","[2, 22, 67]","[68, 77, 78]","[16, 29, 80]","[1, 52, 64]",0,0,1,0,2
115017665,"[1, 10, 71]","[26, 40, 66]","[49, 55, 64]","[32, 41, 42]","[1, 52, 64]",1,1,2,0,2
115017666,"[4, 14, 79]","[4, 48, 60]","[27, 38, 64]","[6, 7, 76]","[43, 52, 64]",1,0,1,0,1
115017667,"[1, 12, 71]","[1, 34, 48]","[8, 23, 77]","[3, 52, 71]","[1, 52, 64]",0,0,1,0,0
115017668,"[6, 36, 57]","[20, 22, 39]","[22, 34, 35]","[6, 40, 51]","[14, 43, 52]",2,1,0,0,0
115017669,"[1, 12, 52]","[3, 23, 34]","[16, 31, 55]","[10, 50, 70]","[14, 43, 52]",1,0,0,1,0
115017670,"[1, 12, 52]","[30, 65, 76]","[48, 54, 64]","[14, 34, 62]","[1, 52, 64]",0,0,0,2,0
115017671,"[6, 36, 57]","[17, 54, 56]","[13, 34, 66]","[9, 11, 29]","[1, 14, 52]",1,1,1,0,1
115017672,"[15, 30, 70]","[23, 66, 70]","[14, 29, 75]","[12, 28, 50]","[14, 52, 79]",1,0,0,0,1
115017673,"[1, 10, 60]","[40, 43, 54]","[19, 43, 49]","[54, 55, 74]","[14, 52, 79]",1,1,1,0,0
115017674,"[1, 10, 71]","[13, 44, 50]","[22, 57, 73]","[9, 52, 53]","[1, 52, 79]",1,2,1,2,1
115017675,"[1, 28, 71]","[27, 39, 56]","[52, 53, 68]","[6, 29, 34]","[1, 52, 79]",2,1,1,1,3
115017676,"[1, 21, 58]","[26, 52, 65]","[8, 14, 54]","[33, 47, 64]","[1, 52, 79]",1,0,0,1,0
115017677,"[1, 21, 70]","[8, 39, 42]","[11, 31, 44]","[13, 22, 75]","[43, 52, 79]",1,1,1,1,1
115017678,"[1, 44, 71]","[38, 51, 75]","[29, 32, 55]","[25, 33, 69]","[43, 52, 79]",0,1,0,0,0
115017679,"[1, 22, 71]","[16, 51, 65]","[4, 14, 74]","[47, 59, 80]","[1, 52, 79]",1,0,1,0,1
115017680,"[4, 13, 43]","[51, 60, 79]","[2, 24, 54]","[5, 33, 47]","[43, 52, 79]",0,1,0,1,0
115017681,"[1, 22, 71]","[1, 11, 26]","[3, 13, 69]","[20, 24, 44]","[1, 52, 79]",0,0,0,1,1
115017682,"[1, 36, 61]","[29, 47, 79]","[9, 15, 52]","[5, 8, 38]","[1, 43, 52]",0,0,2,1,2
115017683,"[5, 45, 60]","[53, 72, 73]","[1, 28, 64]","[20, 24, 47]","[6, 43, 52]",0,1,2,1,1
115017684,"[1, 21, 70]","[6, 14, 43]","[16, 44, 56]","[28, 44, 69]","[30, 43, 52]",0,0,0,0,1
115017685,"[9, 28, 58]","[22, 61, 76]","[7, 57, 65]","[5, 51, 77]","[43, 45, 52]",1,1,1,1,1
115017686,"[1, 38, 71]","[14, 50, 56]","[6, 36, 67]","[35, 49, 65]","[7, 45, 52]",1,0,1,1,1
