issue,draw_time,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115000062,2026/01/01,1,8,12,13,15,16,18,25,26,32,37,44,55,70,72,73,75,78,79,80
115000063,2026/01/01,3,6,8,12,13,21,22,24,28,34,37,38,44,49,61,66,75,76,77,79
115000064,2026/01/01,3,5,11,13,19,23,30,32,39,40,49,55,56,58,64,66,70,73,75,77
115000065,2026/01/01,1,6,7,9,16,17,21,25,26,27,30,32,37,46,48,53,55,65,70,78
115000066,2026/01/01,3,8,20,21,27,37,39,40,41,42,44,45,46,48,50,56,60,65,67,71
115000067,2026/01/01,6,8,9,11,16,17,21,23,25,35,44,50,51,52,53,54,58,62,70,76
115000068,2026/01/01,9,10,16,17,19,25,26,27,28,32,34,35,39,45,49,67,72,77,78,79
115000069,2026/01/01,7,10,16,19,21,25,29,33,35,36,37,38,44,45,47,60,63,69,71,79
115000070,2026/01/01,4,7,9,14,15,20,23,26,31,34,41,51,53,56,57,58,62,70,73,78
115000071,2026/01/01,3,14,15,18,32,36,37,40,41,44,45,47,50,53,57,58,59,62,65,77
115000072,2026/01/01,1,2,3,9,13,17,21,24,25,26,28,40,45,47,53,59,68,71,72,75
115000073,2026/01/01,4,12,15,16,17,21,22,30,40,41,42,44,50,55,65,66,71,72,76,78
115000074,2026/01/01,1,5,8,12,13,22,24,25,26,34,38,42,45,49,50,59,64,66,67,70
115000075,2026/01/01,1,2,3,8,18,25,30,31,39,42,45,57,58,59,64,69,73,75,77,78
115000076,2026/01/01,1,3,4,9,20,21,26,36,41,45,47,48,49,55,58,69,72,75,78,79
115000077,2026/01/01,1,3,15,19,25,28,30,32,33,40,46,47,54,56,64,66,69,70,76,80
115000078,2026/01/01,3,7,14,17,21,24,28,29,30,31,40,41,49,50,57,61,63,67,74,76
115000079,2026/01/01,7,8,13,23,32,33,36,46,49,50,52,53,65,67,69,72,74,77,78,79
