issue,draw_time,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115000814,2026/01/05,1,3,9,10,20,24,25,36,50,53,55,58,59,62,65,67,68,70,73,78
115000815,2026/01/05,2,14,16,18,21,22,25,27,29,33,34,41,42,49,51,62,64,65,78,79
115000816,2026/01/05,5,9,12,14,15,23,25,26,28,32,36,41,47,54,58,59,65,66,73,74
115000817,2026/01/05,6,9,14,23,29,32,40,44,45,46,48,52,56,58,59,63,66,73,74,79
115000818,2026/01/05,2,6,7,8,9,10,11,13,14,20,23,30,35,43,49,56,60,69,75,78
115000819,2026/01/05,1,6,9,10,11,16,23,25,26,27,41,46,48,55,60,65,68,76,77,79
115000820,2026/01/05,1,2,13,14,19,31,36,37,44,45,49,56,62,63,64,66,69,70,71,77
115000821,2026/01/05,3,6,14,15,22,27,28,29,30,33,35,45,51,53,54,55,60,66,73,77
115000822,2026/01/05,3,9,16,20,21,23,30,35,44,47,49,52,53,55,64,69,70,72,76,80
115000823,2026/01/05,1,10,16,17,24,26,32,33,35,36,37,38,45,48,51,57,60,65,66,68
115000824,2026/01/05,9,14,16,19,21,22,29,32,35,38,40,49,51,52,60,61,63,66,69,71
115000825,2026/01/05,3,4,6,8,13,19,31,33,44,48,50,51,56,60,61,62,66,69,78,80
115000826,2026/01/05,8,12,14,21,22,23,24,26,28,31,47,49,53,55,63,66,67,70,71,72
115000827,2026/01/05,1,2,5,7,9,11,14,15,18,29,32,40,47,48,53,55,57,72,73,75
115000828,2026/01/05,11,12,14,16,18,20,27,28,29,32,35,47,48,50,54,65,70,71,73,75
115000829,2026/01/05,2,4,10,12,15,17,23,30,34,36,39,50,51,52,54,61,66,67,68,78
115000830,2026/01/05,2,4,5,9,10,16,23,25,27,30,46,47,52,55,60,61,62,63,64,73
115000831,2026/01/05,4,7,8,10,14,17,18,21,26,32,50,51,55,57,63,68,69,76,77,80
115000832,2026/01/05,1,16,19,21,30,33,35,39,40,44,48,50,52,56,64,67,68,71,75,79
115000833,2026/01/05,2,3,5,10,16,25,26,29,40,41,49,50,51,57,59,63,68,69,71,75
115000834,2026/01/05,3,4,5,23,31,35,37,38,41,45,56,57,61,62,63,70,71,73,78,80
115000835,2026/01/05,7,8,14,20,22,28,34,40,42,43,44,47,50,54,58,69,75,77,79,80
115000836,2026/01/05,2,12,13,19,20,21,22,29,35,36,45,46,48,49,52,55,66,68,72,77
115000837,2026/01/05,2,11,16,21,24,30,32,49,50,51,52,61,62,68,69,70,72,73,75,76
115000838,2026/01/05,1,10,13,17,18,19,21,34,37,49,50,53,54,61,64,66,67,72,74,80
115000839,2026/01/05,1,3,6,7,10,11,16,17,22,24,27,35,39,41,43,48,53,66,68,70
115000840,2026/01/05,4,14,20,21,25,26,40,46,50,51,54,57,61,63,65,69,72,73,75,80
115000841,2026/01/05,1,9,17,20,25,27,28,31,37,44,48,52,54,56,67,68,71,76,77,78
115000842,2026/01/05,1,4,5,6,8,10,12,13,17,19,21,24,27,31,35,42,54,59,62,72
115000843,2026/01/05,2,7,12,13,14,16,21,29,30,32,38,42,45,47,49,67,69,72,74,80
115000844,2026/01/05,3,7,16,17,21,26,30,39,41,43,44,51,52,57,63,64,67,74,79,80
115000845,2026/01/05,14,15,19,26,27,29,31,35,37,40,41,43,62,63,66,67,68,73,76,78
115000846,2026/01/05,6,7,8,10,15,22,23,30,31,35,36,41,42,52,55,64,72,73,76,77
115000847,2026/01/05,1,2,12,19,20,21,27,30,33,34,37,41,42,47,56,62,66,68,73,74
115000848,2026/01/05,1,5,13,19,21,23,24,26,28,29,31,33,34,38,44,51,65,71,72,76
115000849,2026/01/05,2,4,18,19,21,40,42,45,52,55,60,61,63,68,71,72,73,76,78,80
115000850,2026/01/05,2,7,10,16,18,34,38,40,43,47,49,53,56,60,66,67,69,73,74,79
115000851,2026/01/05,1,5,10,11,13,16,21,22,31,36,37,42,48,55,57,60,61,73,74,79
115000852,2026/01/05,1,11,14,19,21,23,28,31,34,35,42,44,52,56,59,64,67,70,73,78
115000853,2026/01/05,1,5,7,10,18,19,21,22,25,28,35,39,41,43,50,52,57,66,72,78
115000854,2026/01/05,5,7,12,15,36,38,40,43,47,48,49,53,54,56,62,64,65,74,75,79
115000855,2026/01/05,11,13,15,16,17,21,23,30,36,41,43,48,50,55,68,70,73,75,77,78
115000856,2026/01/05,6,7,18,19,23,36,37,38,39,41,45,46,53,55,57,58,60,65,72,75
115000857,2026/01/05,1,3,9,10,12,28,29,32,34,37,38,39,48,53,63,66,72,75,76,77
115000858,2026/01/05,1,8,17,19,27,32,34,35,39,42,43,46,48,54,55,56,61,63,66,71
115000859,2026/01/05,5,7,8,9,11,18,22,29,31,32,33,35,43,50,57,62,71,72,73,77
115000860,2026/01/05,7,9,13,17,18,33,34,41,42,43,44,54,59,62,67,71,76,77,79,80
115000861,2026/01/05,8,12,15,20,23,28,31,32,41,48,52,55,65,66,70,71,73,74,77,80
115000862,2026/01/05,2,5,6,7,10,14,18,20,25,32,34,35,42,45,47,51,55,71,72,74
115000863,2026/01/05,9,10,17,18,21,24,26,27,28,35,40,42,51,62,63,70,71,72,76,79
115000864,2026/01/05,3,6,8,11,12,13,17,26,28,31,32,36,48,49,54,55,62,70,72,76
115000865,2026/01/05,6,13,14,15,16,18,19,20,23,35,36,39,40,44,53,60,68,71,72,75
115000866,2026/01/05,1,6,13,16,17,19,25,34,36,42,46,52,54,55,56,58,66,69,75,77
115000867,2026/01/05,4,6,9,10,16,18,26,30,33,34,36,38,39,45,47,55,57,64,66,77
115000868,2026/01/05,1,5,13,16,27,36,39,41,46,51,53,54,59,63,66,67,70,73,79,80
115000869,2026/01/05,14,16,21,23,26,36,39,42,43,44,48,53,59,64,67,73,74,77,78,79
115000870,2026/01/05,6,10,12,24,29,34,40,45,46,49,58,59,60,61,62,69,72,73,74,80
115000871,2026/01/05,1,2,4,8,20,23,35,39,42,47,51,58,62,64,70,71,72,76,78,79
115000872,2026/01/05,4,6,8,15,26,29,30,33,40,42,44,59,62,65,69,70,73,74,76,77
115000873,2026/01/05,10,13,18,22,23,29,38,39,40,42,43,44,49,52,54,55,56,68,71,72
115000874,2026/01/05,3,6,11,13,17,19,20,22,23,35,36,37,39,43,46,50,58,65,66,75
115000875,2026/01/05,3,4,7,8,10,13,16,17,19,21,22,41,44,45,52,57,61,64,78,80
115000876,2026/01/05,4,5,6,8,15,18,19,26,31,33,36,37,42,53,55,58,59,65,71,73
115000877,2026/01/05,4,9,13,18,20,23,30,42,43,46,47,53,65,69,72,75,76,77,78,79
115000878,2026/01/05,1,2,6,7,10,15,22,25,27,31,32,40,42,50,51,57,60,70,73,75
115000879,2026/01/05,1,8,16,28,29,30,32,33,35,36,37,42,44,47,53,56,62,76,77,78
115000880,2026/01/05,2,11,13,14,16,27,29,30,31,32,33,52,59,64,66,68,74,75,76,78
115000881,2026/01/05,1,6,8,12,16,27,28,36,41,46,47,51,53,55,57,58,61,62,71,72
115000882,2026/01/05,1,2,4,9,10,14,30,34,38,47,52,56,59,62,66,68,71,74,78,80
115000883,2026/01/05,3,4,7,10,15,29,35,38,43,44,48,51,53,58,61,66,70,75,78,79
115000884,2026/01/05,6,13,15,16,17,26,27,31,32,35,36,39,46,56,59,60,68,70,71,72
115000885,2026/01/05,8,13,25,31,34,39,43,44,45,47,49,58,61,68,69,70,73,75,79,80
115000886,2026/01/05,7,8,9,12,16,18,25,32,33,38,40,45,54,57,61,62,63,65,77,79
115000887,2026/01/05,5,6,7,16,17,21,25,28,33,36,44,52,54,55,59,62,68,78,79,80
115000888,2026/01/05,3,8,13,16,28,29,31,37,38,43,47,53,55,62,63,64,65,66,73,77
115000889,2026/01/05,2,3,9,19,21,25,38,41,43,59,60,64,65,66,67,71,72,74,75,78
115000890,2026/01/05,3,9,13,14,19,24,25,27,34,41,42,49,51,60,66,72,75,76,79,80
115000891,2026/01/05,3,10,11,14,15,16,18,20,24,26,27,28,36,49,55,56,60,71,72,79
115000892,2026/01/05,3,4,5,19,23,27,32,33,36,37,39,40,41,46,48,51,59,64,66,76
115000893,2026/01/05,1,7,8,11,12,15,17,22,25,29,30,35,38,45,50,57,60,61,65,75
115000894,2026/01/05,10,13,21,22,24,27,28,31,40,41,42,43,47,50,54,57,59,67,70,74
115000895,2026/01/05,3,6,12,13,14,17,19,24,31,32,39,44,47,48,49,52,53,61,64,75
115000896,2026/01/05,3,7,10,12,18,21,31,38,40,41,42,56,57,59,64,67,68,72,76,79
115000897,2026/01/05,1,3,8,12,13,14,23,27,35,42,45,49,50,51,55,56,59,70,75,79
115000898,2026/01/05,3,6,7,10,16,20,21,23,28,31,33,35,38,48,49,50,55,66,72,79
115000899,2026/01/05,4,5,9,10,20,21,22,26,40,42,47,49,63,64,65,67,72,75,76,78
115000900,2026/01/05,1,9,14,15,17,18,27,28,38,41,46,47,59,60,68,69,70,71,73,76
115000901,2026/01/05,9,12,17,19,22,24,30,36,39,42,43,45,50,56,59,62,63,66,67,77
115000902,2026/01/05,5,11,14,15,16,18,19,23,26,27,29,39,42,46,55,63,64,65,67,72
115000903,2026/01/05,1,2,3,7,9,11,16,24,33,43,48,51,57,58,59,63,65,72,79,80
115000904,2026/01/05,1,3,6,7,9,10,12,15,23,25,35,43,47,51,58,66,68,69,72,80
115000905,2026/01/05,1,4,5,10,13,18,22,31,38,40,41,42,48,57,60,61,64,68,74,78
115000906,2026/01/05,2,9,11,13,16,19,22,26,27,34,39,42,44,56,57,59,60,64,66,77
115000907,2026/01/05,1,9,10,12,19,21,23,25,29,32,37,38,40,41,46,48,54,64,69,76
115000908,2026/01/05,4,7,8,19,22,25,29,31,32,42,44,47,48,50,51,52,61,75,76,78
115000909,2026/01/05,1,3,10,13,17,22,28,29,31,33,41,42,52,60,62,63,64,70,77,79
115000910,2026/01/05,4,9,16,18,23,24,37,42,45,49,56,58,60,64,67,68,69,75,77,79
115000911,2026/01/05,14,15,17,22,23,34,35,36,39,41,42,47,49,53,54,55,57,72,75,79
115000912,2026/01/05,2,7,9,10,11,20,23,27,34,42,53,54,55,62,64,67,70,74,77,78
115000913,2026/01/05,4,8,10,16,20,22,41,43,48,49,51,55,64,66,69,71,72,73,75,77
115000914,2026/01/05,2,12,17,20,21,22,25,26,32,35,40,43,44,48,59,63,67,75,76,79
115000915,2026/01/05,4,5,7,10,13,14,15,16,26,38,40,47,48,53,55,63,64,69,70,79
115000916,2026/01/05,3,4,5,10,12,17,18,22,24,26,32,34,38,39,48,51,65,66,69,72
115000917,2026/01/05,12,13,16,25,27,32,33,51,53,59,61,62,64,68,70,71,72,78,79,80
115000918,2026/01/05,2,5,11,17,21,23,31,34,36,40,45,52,56,60,62,64,70,71,72,74
115000919,2026/01/05,3,4,9,10,11,13,14,16,19,21,25,29,32,45,47,61,62,69,70,73
115000920,2026/01/05,2,8,10,12,21,24,30,33,40,42,44,49,61,64,66,67,69,70,74,76
115000921,2026/01/05,5,8,9,10,13,15,21,23,24,30,33,35,47,48,50,57,61,63,72,79
115000922,2026/01/05,5,13,20,24,27,28,31,32,38,41,51,52,55,56,61,62,63,65,71,79
115000923,2026/01/05,2,17,18,21,27,29,30,34,36,47,48,53,55,56,59,63,65,68,70,75
115000924,2026/01/05,5,8,9,12,25,31,35,37,41,42,43,46,49,53,54,58,60,66,69,73
115000925,2026/01/05,2,5,7,8,9,17,24,28,31,40,45,54,56,60,63,73,74,75,79,80
115000926,2026/01/05,2,5,12,14,22,23,35,40,46,53,54,55,56,59,62,64,66,74,75,78
115000927,2026/01/05,2,3,5,7,14,26,29,35,39,41,43,50,54,58,64,65,67,69,70,77
115000928,2026/01/05,1,5,11,12,13,14,17,20,22,23,24,32,33,37,48,53,55,59,61,67
115000929,2026/01/05,1,9,11,12,16,17,26,30,31,35,48,53,54,55,56,65,67,69,73,78
115000930,2026/01/05,1,2,4,20,24,25,28,31,33,35,39,43,44,46,52,56,65,66,76,78
115000931,2026/01/05,1,2,7,9,11,14,24,26,32,39,40,41,45,54,55,56,70,75,77,78
115000932,2026/01/05,5,12,13,15,26,33,34,38,46,47,50,57,68,69,72,73,77,78,79,80
115000933,2026/01/05,5,8,11,14,15,18,24,29,30,31,36,37,41,50,54,56,58,61,74,76
115000934,2026/01/05,3,4,6,8,10,15,17,18,23,24,29,37,43,53,57,58,60,63,69,79
115000935,2026/01/05,2,12,13,16,19,22,28,34,44,49,52,53,55,56,57,63,67,70,77,80
115000936,2026/01/05,2,3,4,5,23,24,27,28,29,33,38,42,44,47,48,63,68,77,78,80
115000937,2026/01/05,3,6,11,17,18,22,23,24,27,34,38,43,49,55,60,63,64,67,71,80
115000938,2026/01/05,6,9,16,20,24,29,32,36,42,43,45,48,57,58,61,62,65,72,73,80
115000939,2026/01/05,4,8,10,19,24,25,36,39,40,42,43,45,46,48,56,63,65,71,79,80
115000940,2026/01/05,2,10,15,20,22,23,24,25,31,34,35,36,41,43,56,58,60,62,74,78
115000941,2026/01/05,6,11,12,19,23,26,29,31,33,36,37,42,48,53,58,64,65,66,67,74
115000942,2026/01/05,6,9,14,18,19,21,27,29,34,35,40,41,44,46,52,56,58,73,75,76
115000943,2026/01/05,3,4,8,10,14,18,22,38,39,42,49,56,58,59,63,64,68,72,75,77
115000944,2026/01/05,2,5,11,15,16,17,22,23,31,32,35,42,52,54,61,64,72,73,74,77
115000945,2026/01/05,6,7,8,16,19,20,27,28,33,39,40,44,47,48,50,53,56,59,62,73
115000946,2026/01/05,2,3,8,9,15,19,26,27,31,33,35,44,46,52,58,61,62,66,68,77
115000947,2026/01/05,14,16,18,30,33,35,36,43,46,48,52,53,56,57,61,65,74,76,78,80
115000948,2026/01/05,3,11,13,16,17,18,24,27,30,31,34,43,44,50,52,61,64,68,69,74
115000949,2026/01/05,1,9,12,15,16,23,26,28,31,34,43,49,50,53,55,61,63,66,69,74
115000950,2026/01/05,1,2,4,19,20,21,22,32,36,37,42,53,54,56,68,71,73,75,79,80
115000951,2026/01/05,1,15,25,29,30,36,38,47,51,56,58,62,63,64,65,70,71,77,79,80
115000952,2026/01/05,1,10,11,17,23,25,28,31,35,43,46,56,59,64,68,69,72,76,77,80
115000953,2026/01/05,1,2,9,11,21,29,31,36,38,41,43,50,52,57,59,63,67,72,76,80
115000954,2026/01/05,8,9,11,17,23,25,26,31,34,36,37,56,60,61,66,67,68,72,76,79
115000955,2026/01/05,1,2,6,11,16,19,22,24,27,29,30,33,38,42,51,59,65,70,71,77
115000956,2026/01/05,1,10,11,15,23,28,31,37,39,41,44,45,48,52,59,63,70,73,77,79
115000957,2026/01/05,4,7,8,9,19,24,25,28,30,32,36,37,38,40,45,52,56,58,67,76
115000958,2026/01/05,7,9,14,21,26,30,31,32,34,36,39,41,47,55,57,61,69,71,74,77
115000959,2026/01/05,1,3,6,8,19,24,26,27,34,39,40,44,47,54,56,58,63,64,79,80
115000960,2026/01/05,9,16,18,19,20,24,26,29,31,53,54,55,58,59,61,62,65,77,78,80
115000961,2026/01/05,6,12,14,20,29,31,33,34,36,42,45,47,51,54,57,58,60,76,78,80
115000962,2026/01/05,4,8,9,15,19,20,21,22,25,30,39,48,49,51,57,63,72,73,76,77
115000963,2026/01/05,8,9,17,19,24,25,29,32,33,35,44,52,54,58,59,62,64,68,69,76
115000964,2026/01/05,3,6,7,10,12,13,14,16,27,31,37,43,46,52,63,64,66,73,77,80
115000965,2026/01/05,7,9,16,18,23,30,37,41,43,44,48,53,57,61,62,65,68,74,76,78
115000966,2026/01/05,3,4,8,11,15,29,31,37,41,43,50,57,59,60,65,67,68,73,77,78
115000967,2026/01/05,3,8,9,10,16,18,25,26,31,34,37,38,41,47,49,51,54,68,78,79
115000968,2026/01/05,6,7,14,15,17,18,20,22,24,25,28,29,42,45,51,52,63,67,74,79
115000969,2026/01/05,3,6,7,13,30,33,37,43,48,49,50,51,55,58,66,70,74,77,79,80
115000970,2026/01/05,1,2,4,5,6,11,12,22,25,26,32,33,36,43,50,68,69,72,73,78
115000971,2026/01/05,1,5,7,15,17,20,26,27,36,37,41,43,48,50,60,61,64,65,68,74
115000972,2026/01/05,3,6,7,14,17,21,31,35,40,45,49,51,53,60,63,69,72,77,79,80
115000973,2026/01/05,4,13,15,17,21,23,25,35,36,38,41,46,49,52,55,56,65,66,70,73
115000974,2026/01/05,2,7,9,12,16,19,27,31,32,43,50,55,58,63,66,68,69,72,79,80
115000975,2026/01/05,4,18,25,28,32,36,37,38,40,44,47,50,60,67,69,71,73,74,79,80
115000976,2026/01/05,7,10,12,15,17,21,25,42,47,48,56,57,58,61,63,65,66,72,74,77
115000977,2026/01/05,3,4,10,11,17,23,32,34,38,44,51,54,55,56,61,66,68,70,77,80
115000978,2026/01/05,1,2,10,14,15,17,21,41,46,50,52,53,56,63,64,67,68,73,77,80
115000979,2026/01/05,6,7,25,29,32,37,39,41,45,51,53,54,56,63,64,66,70,71,73,75
115000980,2026/01/05,1,8,11,13,19,24,25,29,35,36,38,39,41,49,56,58,61,63,69,70
115000981,2026/01/05,5,7,8,15,16,17,22,23,24,27,30,46,50,51,65,74,76,77,78,79
115000982,2026/01/05,1,7,9,14,16,17,18,30,43,44,47,53,54,60,70,71,72,75,78,79
115000983,2026/01/05,2,6,9,17,21,28,30,33,43,44,51,63,68,69,70,71,72,76,77,80
115000984,2026/01/05,1,5,9,13,15,18,19,26,28,34,38,44,50,54,59,63,72,76,79,80
115000985,2026/01/05,1,4,12,18,19,21,22,25,29,32,33,36,40,41,52,67,72,76,77,79
115000986,2026/01/05,5,7,11,13,19,22,24,29,33,34,46,49,58,62,63,64,65,67,72,80
115000987,2026/01/05,4,7,11,21,26,29,37,38,39,42,43,47,48,53,59,64,68,70,72,75
115000988,2026/01/05,1,8,9,11,25,27,30,31,45,48,52,53,54,55,59,70,71,73,74,76
115000989,2026/01/05,5,9,10,12,16,18,24,28,32,35,38,40,41,46,53,56,58,64,66,67
115000990,2026/01/05,3,14,23,25,28,31,32,33,41,45,46,49,51,52,54,58,64,66,73,76
115000991,2026/01/05,5,6,14,15,16,19,25,27,32,44,47,48,52,54,59,63,65,66,71,74
115000992,2026/01/05,5,6,9,15,31,34,36,39,40,41,45,46,48,54,57,58,60,64,66,80
115000993,2026/01/05,2,4,5,8,11,17,21,24,25,28,31,35,41,42,43,46,64,72,75,80
115000994,2026/01/05,11,15,18,21,22,24,26,35,37,40,41,43,44,51,56,60,62,65,75,76
115000995,2026/01/05,2,4,15,20,21,23,27,29,33,34,36,37,42,52,59,64,71,73,74,79
115000996,2026/01/05,2,5,13,14,17,20,24,25,27,29,38,42,48,49,53,55,57,61,69,76
115000997,2026/01/05,1,3,12,17,18,20,23,24,33,34,38,39,45,54,55,56,61,64,70,80
115000998,2026/01/05,2,6,8,13,14,15,17,25,27,32,48,49,50,53,60,63,64,65,69,77
115000999,2026/01/05,3,7,11,12,13,20,28,30,33,40,44,49,52,57,58,60,61,64,66,67
115001000,2026/01/05,6,8,15,16,21,22,36,37,38,41,44,47,50,52,57,58,63,71,74,80
115001001,2026/01/05,2,11,14,15,16,17,18,21,24,30,31,36,40,43,52,56,69,77,79,80
115001002,2026/01/05,8,18,20,23,27,28,31,34,37,43,44,46,50,54,66,68,70,71,72,75
115001003,2026/01/05,7,11,22,23,29,33,42,43,45,52,58,60,61,62,64,65,73,75,76,77
115001004,2026/01/05,2,4,5,7,8,9,13,24,25,43,44,45,49,60,62,67,68,70,73,80
115001005,2026/01/05,7,9,10,11,14,23,34,35,37,38,42,46,48,49,50,56,57,61,72,80
115001006,2026/01/05,2,3,6,8,9,12,15,25,31,32,33,38,45,52,65,70,71,74,76,79
115001007,2026/01/05,3,13,19,20,21,22,26,32,33,38,40,41,47,54,61,64,68,72,73,74
115001008,2026/01/05,6,7,8,9,10,21,23,29,30,40,44,47,55,57,59,61,63,72,76,80
115001009,2026/01/05,4,13,18,25,29,37,39,48,51,53,61,62,63,64,65,66,67,69,74,77
115001010,2026/01/05,1,5,6,7,18,20,24,27,28,34,35,46,50,51,55,57,59,60,61,76
115001011,2026/01/05,5,14,16,20,33,36,37,41,45,46,48,50,52,53,57,59,68,71,78,80
115001012,2026/01/05,4,5,6,7,15,18,20,26,28,36,41,44,50,54,55,72,73,74,76,77
115001013,2026/01/05,5,7,10,15,16,19,20,22,25,29,32,45,50,54,57,62,67,68,76,77
115001014,2026/01/05,4,7,8,10,13,24,31,35,44,47,50,52,60,64,68,69,70,74,77,78
115001015,2026/01/05,1,6,13,14,15,23,26,35,37,41,43,46,48,54,64,68,74,75,78,80
115001016,2026/01/06,3,5,13,15,20,21,23,24,32,37,39,41,43,45,52,55,65,66,72,80
115001017,2026/01/06,4,5,8,15,16,17,19,23,26,29,38,48,55,56,60,64,73,75,79,80
115001018,2026/01/06,8,10,15,17,19,20,29,31,33,36,38,39,41,53,54,59,60,70,76,80
115001019,2026/01/06,1,10,12,18,19,20,21,28,35,36,39,42,45,50,56,59,60,61,63,71
115001020,2026/01/06,7,15,18,20,23,26,32,37,38,47,51,54,57,59,63,64,69,71,75,80
115001021,2026/01/06,3,13,14,16,20,23,28,33,36,42,46,47,58,59,60,66,69,71,72,80
115001022,2026/01/06,1,4,12,16,24,25,26,27,29,30,35,37,53,56,58,60,69,70,76,79
115001023,2026/01/06,5,14,16,23,24,25,26,27,28,30,48,52,54,60,61,65,66,74,76,78
115001024,2026/01/06,4,7,11,13,21,22,24,25,27,36,44,54,56,59,60,67,72,73,74,80
115001025,2026/01/06,5,6,10,21,22,24,25,28,29,35,36,38,47,51,52,59,61,66,69,80
115001026,2026/01/06,6,8,13,14,17,24,28,31,34,39,41,44,47,53,54,55,60,61,75,77
115001027,2026/01/06,3,5,9,10,12,19,22,30,40,41,42,44,49,56,58,67,68,70,71,73
115001028,2026/01/06,1,4,6,7,12,13,16,21,24,25,35,37,38,41,47,52,57,59,64,75
115001029,2026/01/06,2,6,9,12,16,21,22,23,31,42,44,45,54,56,70,71,73,76,77,80
115001030,2026/01/06,4,5,7,13,20,21,22,27,38,41,42,46,49,53,60,65,67,72,75,76
115001031,2026/01/06,5,8,9,10,11,19,23,24,25,35,38,50,51,54,60,64,65,66,72,74
115001032,2026/01/06,1,5,10,13,19,25,26,27,31,33,34,39,44,51,58,60,62,72,73,76
115001033,2026/01/06,1,6,14,18,21,22,24,25,26,28,34,42,45,46,48,53,54,64,67,72
115001034,2026/01/06,3,5,11,12,13,19,26,37,41,44,46,49,54,55,58,60,68,70,77,80
115001035,2026/01/06,1,4,7,10,13,20,30,33,37,43,48,49,53,57,58,66,69,70,71,78
115001036,2026/01/06,1,4,6,8,10,13,14,15,17,34,42,49,55,57,61,62,69,73,76,78
115001037,2026/01/06,1,5,8,14,15,16,28,29,30,33,38,43,44,48,53,59,62,68,73,80
115001038,2026/01/06,1,2,4,6,12,17,18,22,25,28,30,34,35,37,42,54,55,58,64,66
115001039,2026/01/06,5,8,11,13,14,17,30,35,39,43,44,45,52,54,61,63,66,67,71,75
115001040,2026/01/06,7,11,13,18,19,22,30,33,37,43,46,48,49,50,54,60,63,66,78,79
115001041,2026/01/06,1,8,9,12,13,17,22,28,32,33,37,50,52,57,60,69,70,73,76,80
115001042,2026/01/06,2,4,12,13,15,29,32,37,43,44,49,52,56,60,63,67,69,70,77,79
115001043,2026/01/06,5,7,9,14,17,24,27,31,33,36,38,41,44,45,60,64,69,70,71,74
115001044,2026/01/06,6,15,19,24,26,28,29,34,40,41,42,46,49,52,58,63,67,73,74,76
115001045,2026/01/06,9,17,18,25,28,31,39,40,42,45,50,53,57,58,59,69,73,78,79,80
115001046,2026/01/06,6,7,11,14,15,20,21,23,26,30,32,33,34,38,45,51,58,65,69,73
115001047,2026/01/06,4,7,20,21,23,27,30,35,36,38,44,45,47,51,65,69,70,74,77,79
115001048,2026/01/06,6,10,11,12,16,17,18,23,24,29,30,31,43,46,49,51,56,64,75,76
115001049,2026/01/06,4,6,9,10,21,24,28,31,34,36,37,38,42,44,49,53,58,70,74,75
115001050,2026/01/06,3,14,15,16,18,26,33,45,46,52,56,58,61,62,64,68,70,73,74,77
115001051,2026/01/06,1,5,6,9,18,21,26,28,29,34,36,37,38,41,44,63,66,69,72,77
115001052,2026/01/06,8,10,12,14,23,24,25,34,42,43,44,46,54,55,58,61,62,72,75,77
115001053,2026/01/06,3,6,8,10,12,13,19,25,31,39,40,41,46,48,50,66,69,70,72,74
115001054,2026/01/06,2,5,8,10,11,12,22,24,37,49,54,55,58,60,66,68,75,77,78,79
115001055,2026/01/06,8,15,16,17,24,41,44,45,53,54,56,57,59,61,62,64,70,73,79,80
115001056,2026/01/06,3,5,10,17,20,21,29,31,34,46,47,55,59,61,67,68,73,74,75,78
115001057,2026/01/06,6,12,15,16,19,29,31,36,38,48,52,53,56,57,59,61,70,72,74,76
115001058,2026/01/06,2,5,14,15,19,23,28,35,36,41,43,50,53,55,58,61,62,63,69,76
115001059,2026/01/06,3,6,8,9,11,15,21,22,31,34,35,44,47,51,53,64,65,72,79,80
115001060,2026/01/06,5,13,17,20,22,27,28,30,35,36,40,44,47,52,53,62,64,72,75,79
115001061,2026/01/06,8,11,12,17,18,21,23,25,31,32,33,34,45,50,56,61,62,69,71,78
115001062,2026/01/06,5,9,13,14,18,28,34,39,45,46,52,53,55,58,66,72,74,77,78,79
115001063,2026/01/06,1,5,7,8,10,11,12,19,24,25,26,32,36,41,42,56,71,73,78,79
115001064,2026/01/06,7,11,14,42,45,47,48,51,52,57,62,63,65,66,68,69,74,75,78,79
115001065,2026/01/06,2,3,9,12,15,20,23,28,31,35,39,42,45,46,50,52,57,67,68,69
115001066,2026/01/06,2,4,14,19,20,26,28,30,32,36,38,44,47,53,54,66,70,72,77,79
115001067,2026/01/06,2,3,8,10,12,13,19,22,25,37,39,44,47,55,56,58,61,68,73,74
115001068,2026/01/06,7,14,15,18,19,20,21,24,26,32,38,46,49,51,55,56,59,66,75,76
115001069,2026/01/06,1,3,5,11,12,15,17,21,22,27,31,36,38,42,51,54,58,61,64,74
115001070,2026/01/06,15,17,19,20,23,25,28,29,30,36,43,46,48,53,58,60,61,70,75,79
115001071,2026/01/06,2,9,10,17,19,23,25,39,40,44,45,49,52,55,62,64,70,71,75,80
115001072,2026/01/06,3,4,13,15,18,22,28,30,32,36,38,45,46,52,55,58,66,70,76,77
115001073,2026/01/06,7,9,10,13,23,35,37,41,44,46,49,54,58,59,60,65,71,72,76,78
115001074,2026/01/06,7,21,23,25,28,34,36,47,48,49,55,58,64,65,67,73,76,78,79,80
115001075,2026/01/06,1,7,8,9,12,13,14,17,27,34,50,51,57,59,67,70,74,75,76,80
115001076,2026/01/06,2,8,10,12,13,18,19,22,23,26,28,30,33,44,45,51,54,65,74,75
115001077,2026/01/06,4,7,11,17,20,22,24,26,29,36,37,45,46,50,57,62,64,66,67,78
115001078,2026/01/06,3,6,16,26,28,30,32,35,36,51,53,54,55,57,60,63,64,65,71,75
115001079,2026/01/06,2,5,10,11,12,13,17,19,27,29,40,43,48,52,53,55,59,65,73,79
115001080,2026/01/06,6,8,10,15,16,24,29,32,33,35,40,51,53,54,55,58,68,71,75,76
115001081,2026/01/06,2,7,10,11,12,17,21,22,30,36,43,44,46,52,55,57,58,61,71,74
115001082,2026/01/06,2,3,4,13,15,16,19,20,23,27,30,32,38,43,44,51,52,56,77,78
115001083,2026/01/06,6,10,11,16,29,34,35,36,37,39,42,46,47,56,57,60,64,65,69,80
115001084,2026/01/06,4,5,8,10,11,15,19,23,26,35,45,50,52,57,60,62,68,74,78,79
115001085,2026/01/06,3,5,9,12,13,14,20,21,24,28,32,41,44,47,50,51,55,61,66,76
115001086,2026/01/06,2,5,11,14,23,28,30,32,36,44,45,47,53,54,60,63,64,67,68,70
