config,same_triplet_2hit_rate,top1_2hit_rate,same_triplet_3hit_rate,top3_at_least_one_hit_rate,exact_hit@3
baseline,0.3662037037037037,0.13657407407407407,0.025,0.9069444444444444,0.7208333333333333
best_config,0.4037037037037037,0.2050925925925926,0.0125,0.9314814814814815,0.7828703703703703
