遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙, 
賓果賓果,98000038,2009/01/01,135900,5436,61950,04,06,09,11,13,16,21,33,44,47,52,53,55,56,60,66,68,73,74,78,,,
賓果賓果,98000039,2009/01/01,135125,5405,112625,01,02,07,10,16,19,20,21,36,37,42,46,49,50,61,63,67,72,78,79,,,
賓果賓果,98000040,2009/01/01,131875,5275,90425,02,05,07,08,09,12,14,19,20,22,25,34,40,43,46,55,63,68,70,76,,,
賓果賓果,98000041,2009/01/01,133500,5340,53875,02,09,13,14,16,17,22,26,33,35,43,44,50,53,54,56,64,67,68,71,,,
賓果賓果,98000042,2009/01/01,142450,5698,77125,04,08,10,11,12,15,21,22,27,31,53,56,57,58,63,67,69,73,74,77,,,
賓果賓果,98000043,2009/01/01,143175,5727,41100,05,06,15,22,25,28,32,34,36,42,45,49,54,56,58,63,64,71,72,74,,,
賓果賓果,98000044,2009/01/01,149625,5985,166375,01,04,06,07,09,14,20,24,25,30,34,35,41,46,47,49,64,65,66,67,,,
賓果賓果,98000045,2009/01/01,147850,5914,79925,01,04,05,13,14,15,18,21,25,28,29,36,38,40,42,48,49,50,57,79,,,
賓果賓果,98000046,2009/01/01,140250,5610,41850,01,03,07,11,27,30,38,44,45,50,52,53,57,58,60,61,65,72,73,78,,,
賓果賓果,98000047,2009/01/01,152050,6082,74775,07,08,09,14,15,23,28,33,37,42,45,47,48,58,62,63,68,76,78,80,,,
賓果賓果,98000048,2009/01/01,145275,5811,57200,02,06,18,27,30,31,34,37,39,44,47,50,54,55,57,60,62,66,71,75,,,
賓果賓果,98000049,2009/01/01,149475,5979,57275,02,08,09,14,26,33,37,39,45,46,49,51,52,54,61,63,64,74,75,78,,,
賓果賓果,98000050,2009/01/01,145925,5837,71125,01,13,14,16,28,33,35,36,38,44,47,49,54,55,58,59,60,61,66,70,,,
賓果賓果,98000051,2009/01/01,141625,5665,52525,04,07,10,14,15,19,26,27,30,32,33,48,52,55,61,64,68,72,76,80,,,
賓果賓果,98000052,2009/01/01,143675,5747,81500,03,14,22,33,37,41,45,47,48,58,59,62,63,64,67,70,72,76,77,78,,,
賓果賓果,98000053,2009/01/01,145125,5805,53925,04,08,15,20,23,26,30,36,40,43,48,55,58,59,61,63,69,76,78,79,,,
賓果賓果,98000054,2009/01/01,155575,6223,68900,02,10,11,18,20,22,23,28,30,32,44,46,49,50,53,54,59,67,78,79,,,
賓果賓果,98000055,2009/01/01,154850,6194,92075,02,03,04,07,16,17,18,23,24,26,31,37,38,40,44,58,60,63,69,75,,,
賓果賓果,98000056,2009/01/01,161050,6442,64425,05,07,15,16,24,25,28,37,42,51,54,57,58,61,62,64,70,72,73,79,,,
賓果賓果,98000057,2009/01/01,158100,6324,84500,03,04,05,13,17,18,19,30,34,35,36,38,40,44,45,55,58,63,72,78,,,
賓果賓果,98000058,2009/01/01,161625,6465,111200,01,07,09,16,17,21,23,25,37,38,40,43,50,52,57,59,63,64,73,79,,,
賓果賓果,98000059,2009/01/01,168650,6746,98400,04,09,12,14,21,28,29,32,35,37,38,39,40,46,47,53,54,61,68,73,,,
賓果賓果,98000060,2009/01/01,177500,7100,107275,09,11,12,15,17,19,22,25,26,35,38,40,43,45,47,51,56,62,79,80,,,
賓果賓果,98000061,2009/01/01,168775,6751,64075,02,11,16,19,21,24,31,33,42,43,44,54,57,59,63,65,68,70,73,74,,,
