遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙, 
賓果賓果,107000036,2018/01/01,114475,4579,66750,01,02,03,06,09,10,16,18,20,23,26,49,57,58,60,64,67,68,74,76,10,－,雙
賓果賓果,107000037,2018/01/01,119550,4782,45780,01,08,10,12,16,17,21,32,33,34,46,47,52,56,57,58,67,70,71,77,56,－,小雙
賓果賓果,107000038,2018/01/01,136200,5448,42620,08,10,15,18,20,23,37,39,42,50,51,53,54,62,66,67,70,71,73,78,73,－,小雙
賓果賓果,107000039,2018/01/01,146550,5862,174295,06,10,14,27,41,47,49,51,54,57,60,61,62,63,67,70,71,73,75,78,47,大,小單
賓果賓果,107000040,2018/01/01,164675,6587,51850,04,09,12,14,17,19,26,34,35,38,47,52,55,57,60,63,70,73,79,80,73,－,和
賓果賓果,107000041,2018/01/01,164300,6572,184950,01,03,04,06,07,09,10,14,16,18,26,30,32,37,49,58,59,62,63,65,59,小,小雙
賓果賓果,107000042,2018/01/01,154750,6190,49235,09,10,12,15,16,21,26,28,32,38,40,42,48,53,56,57,60,61,73,79,28,－,小雙
賓果賓果,107000043,2018/01/01,165050,6602,67945,05,06,14,17,18,21,23,24,27,28,32,43,44,45,52,57,62,63,73,80,21,－,和
賓果賓果,107000044,2018/01/01,159475,6379,62945,06,09,10,17,18,21,23,24,40,41,44,49,52,53,57,66,71,74,76,79,44,－,和
賓果賓果,107000045,2018/01/01,165625,6625,79360,04,11,12,14,17,18,22,23,28,32,34,40,41,54,55,59,60,67,71,76,71,－,小雙
賓果賓果,107000046,2018/01/01,183950,7358,177275,06,12,16,18,26,28,32,45,46,50,52,53,55,61,65,66,68,72,78,80,53,大,雙
賓果賓果,107000047,2018/01/01,181300,7252,526790,08,13,28,31,32,33,34,36,37,38,39,56,57,58,61,62,63,66,74,78,13,－,小雙
賓果賓果,107000048,2018/01/01,189150,7566,134675,13,14,15,21,22,33,35,39,41,43,44,45,54,60,63,65,66,67,73,74,43,－,單
賓果賓果,107000049,2018/01/01,184975,7399,93540,06,10,11,20,21,22,23,26,28,35,37,38,46,52,54,57,72,73,74,77,73,－,小雙
賓果賓果,107000050,2018/01/01,195300,7812,83340,15,19,20,21,22,24,27,31,35,38,45,51,61,62,64,66,69,70,71,80,21,－,小單
