特徵,模型,遮蔽格,樣本數,命中率,模型檔
zone,rf,3,100,0.3412698412698413,models/model_zone_rf_mask3_n100.joblib
zone,rf,3,300,0.3931216931216931,models/model_zone_rf_mask3_n300.joblib
zone,rf,3,500,0.39365079365079364,models/model_zone_rf_mask3_n500.joblib
zone,rf,4,100,0.3892857142857143,models/model_zone_rf_mask4_n100.joblib
zone,rf,4,300,0.3900793650793651,models/model_zone_rf_mask4_n300.joblib
zone,rf,4,500,0.39261904761904765,models/model_zone_rf_mask4_n500.joblib
full,logistic,2,100,0.009523809523809525,models/model_full_logistic_mask2_n100.joblib
full,logistic,2,300,0.03015873015873016,models/model_full_logistic_mask2_n300.joblib
full,logistic,2,500,0.01619047619047619,models/model_full_logistic_mask2_n500.joblib
full,logistic,3,100,0.020634920634920634,models/model_full_logistic_mask3_n100.joblib
full,logistic,3,300,0.021164021164021163,models/model_full_logistic_mask3_n300.joblib
full,logistic,3,500,0.03333333333333333,models/model_full_logistic_mask3_n500.joblib
full,logistic,4,100,0.017857142857142856,models/model_full_logistic_mask4_n100.joblib
full,logistic,4,300,0.021825396825396824,models/model_full_logistic_mask4_n300.joblib
full,logistic,4,500,0.02119047619047619,models/model_full_logistic_mask4_n500.joblib
full,rf,2,100,0.35714285714285715,models/model_full_rf_mask2_n100.joblib
full,rf,2,300,0.3825396825396825,models/model_full_rf_mask2_n300.joblib
full,rf,2,500,0.38952380952380955,models/model_full_rf_mask2_n500.joblib
full,rf,3,100,0.3476190476190476,models/model_full_rf_mask3_n100.joblib
full,rf,3,300,0.3952380952380952,models/model_full_rf_mask3_n300.joblib
full,rf,3,500,0.3907936507936508,models/model_full_rf_mask3_n500.joblib
full,rf,4,100,0.3821428571428571,models/model_full_rf_mask4_n100.joblib
full,rf,4,300,0.4031746031746032,models/model_full_rf_mask4_n300.joblib
full,rf,4,500,0.3773809523809524,models/model_full_rf_mask4_n500.joblib
