weight,size_class,group_count,top1,top3,top5,top10,mrr,mean_rank
0.0,8x10,320,0.5625,0.640625,0.66875,0.728125,0.6257431524035664,7.7125
0.02,8x10,320,0.5625,0.6375,0.66875,0.7125,0.6227996069939234,7.625
0.05,8x10,320,0.559375,0.634375,0.678125,0.740625,0.623362813363361,7.428125
0.08,8x10,320,0.553125,0.63125,0.65625,0.746875,0.6183805081588708,7.51875
0.1,8x10,320,0.553125,0.628125,0.6625,0.75,0.6192899048841336,7.5375
0.15,8x10,320,0.5625,0.615625,0.64375,0.734375,0.6200281452590939,7.6375
0.2,8x10,320,0.55625,0.609375,0.65,0.734375,0.612646407501759,7.684375
