fold,train_size,test_size,top20_hit_rate,top10_hit_rate,top3_hit_rate,logloss,brier_score,ndcg@20
1,497,496,0.24939516129032258,0.2493951612903226,0.2560483870967742,0.5682281002477761,0.18944712011780948,0.24856161161872528
2,993,496,0.2536290322580645,0.2600806451612903,0.2782258064516129,0.5636081234739312,0.1879883221720074,0.2594710109143592
3,1489,496,0.24556451612903227,0.24798387096774194,0.2600806451612903,0.563045556655629,0.1877647938400713,0.24812997766607503
4,1985,496,0.2552419354838709,0.24919354838709676,0.24731182795698925,0.5627756724634241,0.18765863100138674,0.252494579924121
5,2481,496,0.246875,0.24516129032258066,0.2439516129032258,0.5628406875858444,0.1876933017945301,0.24664391428496055
