version_id,fold,regime,top20_hit_rate,top5_hit_rate,top10_hit_rate,top3_hit_rate,top3_at_least_one_hit_rate,ndcg_at_10
v0_binary_baseline,1,balanced,0.2571428571428572,0.24155844155844158,0.237012987012987,0.24675324675324675,0.5714285714285714,0.23940815334870583
v0_binary_baseline,1,high_vol,0.2581081081081081,0.2756756756756757,0.25225225225225223,0.25225225225225223,0.5675675675675675,0.2574368600736566
v0_binary_baseline,1,transitional,0.24299242424242426,0.24924242424242424,0.2556818181818182,0.25631313131313127,0.5681818181818182,0.2571112752444252
v0_binary_baseline,2,balanced,0.2509433962264151,0.2792452830188679,0.2572327044025157,0.2809224318658281,0.6289308176100629,0.26512413495127785
v0_binary_baseline,2,high_vol,0.2566929133858268,0.2503937007874016,0.25275590551181104,0.23622047244094488,0.5984251968503937,0.2471659846951003
v0_binary_baseline,2,transitional,0.24732510288065845,0.2609053497942387,0.24320987654320989,0.2743484224965706,0.6296296296296297,0.25006983823632173
v0_binary_baseline,3,balanced,0.24748427672955975,0.24025157232704406,0.24842767295597484,0.2683438155136268,0.5849056603773585,0.25587426356345605
v0_binary_baseline,3,high_vol,0.2584158415841584,0.27722772277227725,0.27623762376237626,0.2904290429042904,0.6336633663366337,0.28201677742427905
v0_binary_baseline,3,transitional,0.24498141263940523,0.24981412639405207,0.24349442379182157,0.265179677819083,0.587360594795539,0.25064308373386274
v0_binary_baseline,4,balanced,0.2587878787878788,0.27151515151515154,0.2654545454545455,0.2787878787878788,0.6606060606060606,0.2642496123318131
v0_binary_baseline,4,high_vol,0.2581818181818182,0.2690909090909091,0.2581818181818182,0.3,0.6454545454545455,0.26789313866472353
v0_binary_baseline,4,transitional,0.24429133858267715,0.23228346456692914,0.22440944881889763,0.24146981627296585,0.5511811023622047,0.22475694381215533
v0_binary_baseline,5,balanced,0.24516129032258063,0.2374193548387097,0.22258064516129034,0.22580645161290322,0.5548387096774193,0.22115607865439801
v0_binary_baseline,5,high_vol,0.24891304347826085,0.2782608695652174,0.2619565217391305,0.28985507246376807,0.6521739130434783,0.2724372988667797
v0_binary_baseline,5,transitional,0.24343971631205677,0.23333333333333334,0.2379432624113475,0.24349881796690304,0.5638297872340425,0.24015156674398705
v3_rerank_k30_p300,1,balanced,0.25941558441558443,0.26103896103896107,0.2707792207792208,0.2727272727272727,0.6363636363636364,0.2667717025021585
v3_rerank_k30_p300,1,high_vol,0.25045045045045045,0.2684684684684685,0.2585585585585585,0.26126126126126126,0.6126126126126126,0.2589269320506835
v3_rerank_k30_p300,1,transitional,0.2556818181818182,0.2537878787878788,0.24848484848484848,0.2664141414141414,0.6363636363636364,0.25547986148518387
v3_rerank_k30_p300,2,balanced,0.24654088050314468,0.26037735849056604,0.25031446540880503,0.27044025157232704,0.6352201257861635,0.25632313533861173
v3_rerank_k30_p300,2,high_vol,0.2535433070866142,0.247244094488189,0.2606299212598425,0.2545931758530183,0.5826771653543307,0.257102813932576
v3_rerank_k30_p300,2,transitional,0.25,0.24691358024691357,0.2518518518518519,0.2578875171467764,0.6008230452674898,0.25253610741747723
v3_rerank_k30_p300,3,balanced,0.239937106918239,0.22515723270440255,0.23333333333333334,0.23060796645702306,0.5408805031446541,0.23281343340319935
v3_rerank_k30_p300,3,high_vol,0.27376237623762373,0.2910891089108911,0.2801980198019802,0.3036303630363036,0.693069306930693,0.288183431274463
v3_rerank_k30_p300,3,transitional,0.2513011152416357,0.23866171003717473,0.2468401486988848,0.24535315985130113,0.5910780669144982,0.25126978539558564
v3_rerank_k30_p300,4,balanced,0.24575757575757573,0.27515151515151515,0.2539393939393939,0.305050505050505,0.6727272727272727,0.2633217372849932
v3_rerank_k30_p300,4,high_vol,0.26181818181818184,0.2890909090909091,0.26272727272727275,0.26666666666666666,0.5818181818181818,0.26669786474506557
v3_rerank_k30_p300,4,transitional,0.2561023622047244,0.2488188976377953,0.24763779527559054,0.24015748031496062,0.5669291338582677,0.24571923047840935
v3_rerank_k30_p300,5,balanced,0.24225806451612902,0.2567741935483871,0.24451612903225806,0.25806451612903225,0.6129032258064516,0.24734922364564121
v3_rerank_k30_p300,5,high_vol,0.24293478260869567,0.2673913043478261,0.2565217391304348,0.29347826086956524,0.6847826086956522,0.2621466306732177
v3_rerank_k30_p300,5,transitional,0.25390070921985813,0.23617021276595748,0.25248226950354613,0.21867612293144206,0.5390070921985816,0.24080285817964933
