fold,experiment,top20_hit_rate,top10_hit_rate,top5_hit_rate,top3_hit_rate,top3_at_least_one_hit_rate,top3_at_least_one_hit,ndcg@10,exact_hit@3,exact_hit@10,adj_hit_pm1@3,strict_adj_only_pm1@3,mean_min_distance_at_3,top3_dedup_changed
1,baseline_frequency,0.25577507598784194,0.25577507598784194,0.2620060790273556,0.25835866261398177,0.5942249240121581,0.5942249240121581,0.2572452577030926,0.0121580547112462,0.0,0.5775075987841946,0.019756838905775075,1.7188449848024316,0.041033434650455926
1,ranker_main_qsm,0.24582066869300911,0.24711246200607903,0.2501519756838906,0.23809523809523808,0.5395136778115501,0.5395136778115501,0.24490605031928256,0.013677811550151976,0.0,0.5845997973657547,0.04711246200607903,1.738095238095238,0.05319148936170213
1,ablation_no_retrieval,0.24376899696048632,0.24422492401215803,0.24893617021276598,0.24569402228976692,0.560790273556231,0.560790273556231,0.24336241569654743,0.013677811550151976,0.0,0.5886524822695035,0.037993920972644375,1.7127659574468086,0.06231003039513678
1,ablation_no_logistic,0.24468085106382978,0.2448328267477204,0.2474164133738602,0.23809523809523814,0.5455927051671733,0.5455927051671733,0.24292596816557685,0.0121580547112462,0.0,0.5820668693009119,0.044072948328267476,1.7350557244174267,0.05319148936170213
2,baseline_frequency,0.2491641337386018,0.25151975683890576,0.25319148936170216,0.2578520770010131,0.6200607902735562,0.6200607902735562,0.25554032348407535,0.010638297872340425,0.0,0.5987841945288754,0.031914893617021274,1.658561296859169,0.06231003039513678
2,ranker_main_qsm,0.25227963525835867,0.25227963525835867,0.2559270516717325,0.25886524822695034,0.5972644376899696,0.5972644376899696,0.25297906388097763,0.00911854103343465,0.0,0.569402228976697,0.02127659574468085,1.8232016210739612,0.09878419452887538
2,ablation_no_retrieval,0.2544072948328267,0.2501519756838906,0.2577507598784195,0.2573454913880446,0.5911854103343465,0.5911854103343465,0.2508906148472759,0.013677811550151976,0.0,0.5623100303951368,0.0243161094224924,1.8161094224924013,0.10638297872340426
2,ablation_no_logistic,0.25311550151975687,0.2548632218844985,0.25653495440729485,0.25582573454913876,0.5881458966565349,0.5881458966565349,0.25655102320147716,0.010638297872340425,0.0,0.5653495440729484,0.0182370820668693,1.824721377912867,0.09878419452887538
3,baseline_frequency,0.24612462006079025,0.24407294832826748,0.24346504559270515,0.2436676798378926,0.5835866261398176,0.5835866261398176,0.24702238293739565,0.00911854103343465,0.0,0.5815602836879432,0.041033434650455926,1.6884498480243162,0.02735562310030395
3,ranker_main_qsm,0.24445288753799396,0.24893617021276598,0.2541033434650456,0.25633232016210744,0.5881458966565349,0.5881458966565349,0.25431286047794394,0.007598784194528876,0.0,0.585612968591692,0.034954407294832825,1.7482269503546097,0.07598784194528875
3,ablation_no_retrieval,0.24620060790273557,0.2513677811550152,0.26231003039513684,0.25633232016210733,0.5775075987841946,0.5775075987841946,0.2541804721888155,0.016717325227963525,0.0,0.5840932117527862,0.030395136778115502,1.7203647416413375,0.08814589665653495
3,ablation_no_logistic,0.24620060790273557,0.25,0.2513677811550152,0.2532928064842958,0.5668693009118541,0.5668693009118541,0.2538871681840441,0.016717325227963525,0.0,0.5840932117527862,0.0425531914893617,1.730496453900709,0.09422492401215805
