version_id,fold,top20_hit_rate,top10_hit_rate,top3_hit_rate,top3_at_least_one_hit_rate
v0_binary_baseline,1,0.25179584120982984,0.24990548204158794,0.25267800882167607,0.5973534971644613
v0_binary_baseline,2,0.25179584120982984,0.25198487712665407,0.2589792060491493,0.6011342155009451
v0_binary_baseline,3,0.25085066162570885,0.244234404536862,0.25771896660365473,0.610586011342155
v0_binary_baseline,4,0.24914933837429112,0.24971644612476374,0.2558286074354127,0.5916824196597353
v0_binary_baseline,5,0.25765595463137997,0.2512287334593573,0.2495274102079395,0.5803402646502835
v2_rerank_k30_p300,1,0.25387523629489606,0.2646502835538752,0.25645872715816004,0.610586011342155
v2_rerank_k30_p300,2,0.24810964083175804,0.2427221172022685,0.24259609325771894,0.5727788279773157
v2_rerank_k30_p300,3,0.2540642722117202,0.24725897920604917,0.23062381852551986,0.5519848771266541
v2_rerank_k30_p300,4,0.25028355387523626,0.2533081285444234,0.2614996849401386,0.6011342155009451
v2_rerank_k30_p300,5,0.2521739130434782,0.2516068052930057,0.26591052299936985,0.6143667296786389
