iter,delta_top3_hit_rate
0,0.005234718000675447
1,0.006923336710570753
2,0.003208375548801081
3,0.004896994258696386
4,0.0015197568389057755
5,-0.007598784194528876
6,0.0035460992907801426
7,-0.005572441742654508
8,-0.0038838230327592027
9,0.0005065856129685917
10,-0.008274231678486997
11,-0.003883823032759203
12,0.00928740290442418
13,0.0038838230327592023
14,-0.00894967916244512
15,0.013340087808172914
16,-0.0011820330969267137
17,-0.005234718000675447
18,0.01165146909827761
19,-0.010976021614319485
20,-0.0025329280648429585
21,-0.004559270516717324
22,-0.005234718000675448
23,-0.0028706518068220195
24,-0.004896994258696386
25,-0.005572441742654508
26,-0.0005065856129685915
27,0.0028706518068220195
28,0.00591016548463357
29,-0.01165146909827761
30,-0.001182033096926714
31,-0.0042215467747382645
32,0.005572441742654507
33,-0.0042215467747382645
34,-0.008274231678486997
35,-0.008274231678486997
36,-0.013677811550151974
37,-0.0025329280648429585
38,0.0038838230327592027
39,0.0015197568389057753
40,0.008611955420466059
41,0.003546099290780142
42,0.008611955420466059
43,0.013002364066193851
44,-0.004559270516717325
45,0.009625126646403243
46,0.0042215467747382645
47,-0.009625126646403243
48,-0.005572441742654508
49,-0.0008443093549476527
50,0.0008443093549476528
51,0.006247889226612631
52,-0.005234718000675447
53,-0.0005065856129685919
54,-0.002195204322863897
55,-0.0038838230327592027
56,0.0035460992907801418
57,-0.01840594393785883
58,-0.004896994258696386
59,-0.003546099290780142
60,-0.007936507936507936
61,0.0028706518068220195
62,-0.01637960148598446
63,-0.004896994258696386
64,-0.0011820330969267137
65,0.010638297872340425
66,-0.006247889226612631
67,-0.002195204322863897
68,0.008611955420466059
69,-0.0025329280648429585
70,-0.008949679162445118
71,-0.02077001013171226
72,0.008611955420466059
73,-0.007936507936507936
74,-0.001519756838905775
75,-0.004559270516717325
76,-0.0042215467747382645
77,-0.014015535292131035
78,0.007598784194528876
79,0.00928740290442418
80,0.004221546774738264
81,-0.0011820330969267135
82,-0.006923336710570753
83,0.0021952043228638976
84,-0.01502870651806822
85,-0.013677811550151976
86,-0.005572441742654508
87,-0.0005065856129685918
88,-0.010976021614319485
89,0.006923336710570753
90,-0.004896994258696386
91,-0.0008443093549476528
92,-0.008949679162445118
93,0.0015197568389057753
94,-0.0001688618709895307
95,-0.007261060452549813
96,0.0015197568389057749
97,0.008611955420466059
98,0.00287065180682202
99,0.0011820330969267137
100,-0.010976021614319485
101,-0.007598784194528876
102,0.008274231678486997
103,-0.00928740290442418
104,-0.008949679162445118
105,0.007261060452549814
106,0.00016886187098953085
107,0.005572441742654508
108,0.0005065856129685916
109,0.00591016548463357
110,0.004221546774738264
111,-0.007936507936507936
112,0.012664640324214792
113,-0.00016886187098953066
114,-0.0042215467747382645
115,-0.009625126646403243
116,0.00591016548463357
117,0.0001688618709895306
118,0.0021952043228638967
119,0.00624788922661263
120,-0.01232691658223573
121,0.0005065856129685914
122,0.010638297872340425
123,-0.010300574130361364
124,-0.00287065180682202
125,-0.007261060452549813
126,-0.0038838230327592027
127,-0.0008443093549476527
128,0.005572441742654507
129,-0.008949679162445118
130,-0.01165146909827761
131,-0.0021952043228638976
132,0.002195204322863897
133,0.008949679162445118
134,0.005234718000675447
135,-0.0005065856129685919
136,0.0005065856129685913
137,-0.00016886187098953033
138,-0.0005065856129685918
139,0.004559270516717324
140,-0.0008443093549476532
141,-0.0015197568389057753
142,-0.005572441742654507
143,-0.0008443093549476527
144,0.0028706518068220195
145,-0.0035460992907801418
146,0.005234718000675447
147,0.005572441742654507
148,0.009962850388382304
149,-0.011651469098277608
150,0.008274231678486997
151,-0.011313745356298548
152,0.005234718000675448
153,-0.016041877744005402
154,0.00016886187098953055
155,-0.0005065856129685916
156,0.004896994258696386
157,-0.00928740290442418
158,0.008274231678486997
159,-0.014690982776089158
160,-0.002195204322863897
161,-0.004896994258696386
162,0.0028706518068220195
163,0.00624788922661263
164,0.005234718000675447
165,-0.00894967916244512
166,-0.0018574805808848367
167,0.003883823032759203
168,-0.005572441742654508
