scheme,board_id,size_class,mask_ratio,mask_idx,target_number,rank,top1,top3,top5,top10,active_module_count_mean,abstain_rate,no_informative_modules_rate,score_std,final_score_std
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,26,23,0,0,0,0,9.083333333333334,0.0,0.0,0.06601743892338238,0.06601743892338238
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,26,21,0,0,0,0,4.833333333333333,0.5166666666666667,0.0,0.07056170628618408,0.07056170628618408
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,26,23,0,0,0,0,2.3333333333333335,0.7666666666666667,0.0,0.07654739213043779,0.07654739213043779
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,26,23,0,0,0,0,1.875,0.8125,0.0,0.07102821845402689,0.07102821845402689
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,26,22,0,0,0,0,9.083333333333334,0.0,0.0,0.07219021337108353,0.07219021337108353
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,26,23,0,0,0,0,9.458333333333334,0.0,0.0,0.06601743892338238,0.06601743892338238
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,27,7,0,0,0,1,9.333333333333334,0.0,0.0,0.06380454208094484,0.06380454208094484
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,27,4,0,0,1,1,4.791666666666667,0.532520325203252,0.0,0.06723782434915589,0.06723782434915589
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,27,8,0,0,0,1,2.5833333333333335,0.7479674796747967,0.0,0.0770797731177138,0.0770797731177138
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,27,8,0,0,0,1,2.0416666666666665,0.8008130081300813,0.0,0.07878961985026903,0.07878961985026903
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,27,8,0,0,0,1,9.333333333333334,0.0,0.0,0.06972499688579206,0.06972499688579206
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,27,7,0,0,0,1,9.458333333333334,0.0,0.0,0.06380454208094484,0.06380454208094484
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,39,7,0,0,0,1,9.041666666666666,0.0,0.0,0.06446866157142409,0.06446866157142409
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,39,5,0,0,1,1,5.0,0.5061728395061729,0.0,0.06721527793438525,0.06721527793438525
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,39,6,0,0,0,1,2.5833333333333335,0.7448559670781894,0.0,0.07705151941628884,0.07705151941628884
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,39,11,0,0,0,0,2.0416666666666665,0.7983539094650206,0.0,0.06777519598862053,0.06777519598862053
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,39,9,0,0,0,1,9.041666666666666,0.0,0.0,0.060405366395382555,0.060405366395382555
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,39,7,0,0,0,1,9.458333333333334,0.0,0.0,0.06446866157142409,0.06446866157142409
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,41,3,0,1,1,1,9.041666666666666,0.0,0.0,0.06233291965909272,0.06233291965909272
