case_id,group_id,row,col,baseline_score,baseline_rank,score_gap_to_top1,score_gap_to_top3,candidate_count,row_norm,col_norm,dist_to_center,is_border,is_corner,module_consensus_top1,module_consensus_top3,module_consensus_top5,label,module_score_logic_rule,module_rank_logic_rule,module_score_pattern_model,module_rank_pattern_model,module_score_prior_model,module_rank_prior_model
default_0,default_0,7,1,0.189706,31,0.5687359999999999,0.4830209999999999,40,0.875,0.1,0.7,1,0,0,0,1,0,0.198291,4,0.204545,8,0.142857,7
default_0,default_0,3,7,0.181716,32,0.576726,0.491011,40,0.375,0.7,0.3,0,0,0,1,1,0,0.051692,14,0.045455,10,0.714286,3
default_0,default_0,8,7,0.167532,33,0.5909099999999999,0.505195,40,1.0,0.7,0.5,1,0,0,0,1,0,0.0,30,0.204545,8,0.428571,5
default_0,default_0,3,8,0.163159,34,0.595283,0.509568,40,0.375,0.8,0.4,0,0,0,0,1,1,0.013093,25,0.109091,9,0.571429,4
default_0,default_0,5,2,0.138901,35,0.6195409999999999,0.5338259999999999,40,0.625,0.2,0.4,0,0,0,0,1,0,0.061538,12,0.0,11,0.571429,4
default_0,default_0,7,7,0.134798,36,0.623644,0.537929,40,0.875,0.7,0.4,0,0,0,0,1,0,0.005826,28,0.045455,10,0.571429,4
default_0,default_0,7,9,0.107213,37,0.651229,0.565514,40,0.875,0.9,0.6,0,0,0,0,0,0,0.016084,23,0.109091,9,0.285714,6
default_0,default_0,7,2,0.089334,38,0.6691079999999999,0.5833929999999999,40,0.875,0.2,0.6,0,0,0,0,0,0,0.035025,18,0.045455,10,0.285714,6
default_1,default_1,1,5,0.787013,1,0.0,-0.15584399999999998,40,0.125,0.5,0.4,1,0,1,2,3,0,1.0,1,0.681818,2,0.571429,4
default_1,default_1,3,1,0.72987,2,0.057142999999999944,-0.09870100000000004,40,0.375,0.1,0.6,1,0,1,2,2,0,1.0,1,0.681818,2,0.285714,6
default_1,default_1,1,7,0.631169,3,0.15584399999999998,0.0,40,0.125,0.7,0.5,1,0,1,1,3,0,1.0,1,0.363636,4,0.428571,5
default_1,default_1,1,8,0.602597,4,0.1844159999999999,0.02857199999999993,40,0.125,0.8,0.6,1,0,1,1,2,0,1.0,1,0.363636,4,0.285714,6
default_1,default_1,2,4,0.524122,5,0.262891,0.107047,40,0.25,0.4,0.4,0,0,0,2,3,0,0.342772,2,0.681818,2,0.571429,4
default_1,default_1,1,4,0.4888,6,0.29821299999999995,0.14236899999999997,40,0.125,0.4,0.5,1,0,1,1,2,0,0.007715,27,1.0,1,0.428571,5
default_1,default_1,2,2,0.420034,7,0.36697899999999994,0.21113499999999996,40,0.25,0.2,0.6,0,0,0,1,2,0,0.22541,5,0.681818,2,0.285714,6
default_1,default_1,6,8,0.388479,8,0.39853399999999994,0.24268999999999996,40,0.75,0.8,0.4,0,0,0,1,2,0,0.003664,30,0.681818,2,0.571429,4
default_1,default_1,5,8,0.347043,9,0.43996999999999997,0.284126,40,0.625,0.8,0.3,0,0,0,1,2,0,0.146828,8,0.363636,4,0.714286,3
default_1,default_1,2,1,0.315725,10,0.471288,0.315444,40,0.25,0.1,0.7,1,0,0,1,1,0,0.036066,19,0.681818,2,0.142857,7
default_1,default_1,7,7,0.312649,11,0.47436399999999995,0.31851999999999997,40,0.875,0.7,0.4,0,0,0,1,2,0,0.004998,29,0.490909,3,0.571429,4
default_1,default_1,5,10,0.312449,12,0.474564,0.31872,40,0.625,1.0,0.5,1,0,0,1,2,0,0.075928,14,0.490909,3,0.428571,5
default_1,default_1,1,2,0.308585,13,0.47842799999999996,0.322584,40,0.125,0.2,0.7,1,0,0,1,1,0,0.018215,24,0.681818,2,0.142857,7
default_1,default_1,8,5,0.287937,14,0.49907599999999996,0.343232,40,1.0,0.5,0.4,1,0,0,0,2,0,0.070492,15,0.363636,4,0.571429,4
default_1,default_1,4,7,0.284573,15,0.50244,0.34659599999999996,40,0.5,0.7,0.2,0,0,0,1,1,0,0.17377,7,0.109091,6,0.857143,2
default_1,default_1,8,6,0.270232,16,0.5167809999999999,0.36093699999999995,40,1.0,0.6,0.4,1,0,0,0,2,0,0.02623,21,0.363636,4,0.571429,4
default_1,default_1,6,5,0.269397,17,0.517616,0.361772,40,0.75,0.5,0.2,0,0,0,1,1,0,0.135831,9,0.109091,6,0.857143,2
default_1,default_1,1,6,0.267281,18,0.519732,0.363888,40,0.125,0.6,0.4,1,0,0,0,2,0,0.018852,23,0.363636,4,0.571429,4
default_1,default_1,5,6,0.267034,19,0.519979,0.364135,40,0.625,0.6,0.1,0,0,1,1,1,0,0.122131,11,0.045455,7,1.0,1
default_1,default_1,6,10,0.260064,20,0.5269489999999999,0.37110499999999996,40,0.75,1.0,0.6,1,0,0,1,1,0,0.016393,25,0.490909,3,0.285714,6
default_1,default_1,8,8,0.258752,21,0.528261,0.372417,40,1.0,0.8,0.6,1,0,0,1,1,0,0.013115,26,0.490909,3,0.285714,6
default_1,default_1,3,3,0.257058,22,0.529955,0.37411099999999997,40,0.375,0.3,0.4,0,0,0,1,2,0,0.311475,3,0.045455,7,0.571429,4
default_1,default_1,2,8,0.242942,23,0.544071,0.388227,40,0.25,0.8,0.5,0,0,0,0,2,0,0.188525,6,0.204545,5,0.428571,5
