experiment,fold,top20_hit_rate,top10_hit_rate,top5_hit_rate,top3_hit_rate,top3_at_least_one_hit_rate,top3_at_least_one_hit,ndcg@10,exact_hit@3,exact_hit@10,adj_hit_pm1@3,strict_adj_only_pm1@3,mean_min_distance_at_3,top3_dedup_changed
baseline_frequency,1,0.24833333333333335,0.22999999999999995,0.20000000000000004,0.2111111111111111,0.5,0.5,0.21196027413507876,0.0,0.0,0.5666666666666665,0.03333333333333333,1.7333333333333336,0.0
baseline_frequency,2,0.2564680232558139,0.25625000000000003,0.26395348837209304,0.2553294573643411,0.5872093023255814,0.5872093023255814,0.25527062179169663,0.011627906976744186,0.0,0.5780038759689922,0.023255813953488372,1.7170542635658914,0.04215116279069767
baseline_frequency,3,0.25304606240713223,0.25460624071322435,0.26017830609212483,0.25928677563150077,0.6092124814264487,0.6092124814264487,0.2554024670469605,0.01188707280832095,0.0,0.5884101040118871,0.02600297176820208,1.6862308073303618,0.05349182763744428
ranker_main_qsm,1,0.9649999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.03333333333333333
ranker_main_qsm,2,0.39549418604651165,0.5675872093023255,0.7828488372093023,0.9016472868217055,0.998546511627907,0.998546511627907,0.6686652045054227,0.7296511627906976,0.0014534883720930232,0.9471899224806201,0.0,0.2562984496124031,0.07703488372093023
ranker_main_qsm,3,0.3428306092124815,0.451263001485884,0.613075780089153,0.7545814759782071,0.9881129271916791,0.9881129271916791,0.5487663404322372,0.41530460624071325,0.0,0.8558692421991084,0.0014858841010401188,0.6040118870728083,0.08692421991084695
ablation_no_retrieval,1,0.9666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.03333333333333333
ablation_no_retrieval,2,0.3972383720930232,0.5744186046511629,0.7872093023255813,0.9069767441860465,1.0,1.0,0.6745825732370527,0.748546511627907,0.0014534883720930232,0.9496124031007752,0.0,0.24224806201550386,0.0872093023255814
ablation_no_retrieval,3,0.3485884101040119,0.45468053491827637,0.6213967310549777,0.7622585438335809,0.9888558692421991,0.9888558692421991,0.5539108428561731,0.43164933135215455,0.0,0.8543833580980683,0.0014858841010401188,0.6010401188707281,0.09063893016344725
ablation_no_logistic,1,0.9616666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.03333333333333333
ablation_no_logistic,2,0.3883720930232558,0.545203488372093,0.7363372093023255,0.8624031007751939,0.998546511627907,0.998546511627907,0.6418241351506363,0.627906976744186,0.0014534883720930232,0.9215116279069767,0.0,0.3444767441860465,0.07412790697674419
ablation_no_logistic,3,0.33410104011887076,0.43224368499257054,0.5787518573551264,0.6983655274888558,0.9777117384843982,0.9777117384843982,0.5208342201106319,0.3202080237741456,0.0,0.8164933135215453,0.0014858841010401188,0.7523526498266468,0.07800891530460624
