variant,num_targets,top1_hit_rate,top3_hit_rate,top5_hit_rate,top10_hit_rate,mean_rank,median_rank,mrr,avg_top10_max_cluster_size,avg_top10_adjacent_pair_rate,delta_top5_vs_baseline,delta_top10_vs_baseline,delta_mrr_vs_baseline,delta_mean_rank_vs_baseline,delta_cluster_size_vs_baseline
baseline,340.0,0.026470588235294117,0.10882352941176471,0.17058823529411765,0.3235294117647059,21.8,20.0,0.12292774306487769,4.720588235294118,0.15938375350140055,0.0,0.0,0.0,0.0,0.0
A_spatial_hybrid,340.0,0.026470588235294117,0.10294117647058823,0.17058823529411765,0.3352941176470588,21.738235294117647,19.5,0.12326988797706905,4.641176470588236,0.15389355742296917,0.0,0.0117647058823529,0.0003421449121913528,-0.06176470588235361,-0.07941176470588207
B_spatial_chebyshev,340.0,0.026470588235294117,0.10294117647058823,0.17647058823529413,0.3352941176470588,21.66764705882353,19.5,0.1243126386843353,4.479411764705882,0.1434360410830999,0.0058823529411764774,0.0117647058823529,0.0013848956194576073,-0.132352941176471,-0.24117647058823533
C_evidence_aware_mmr,340.0,0.026470588235294117,0.10588235294117647,0.18529411764705883,0.34411764705882353,21.591176470588234,19.5,0.12486934055853179,4.567647058823529,0.14820728291316526,0.01470588235294118,0.02058823529411763,0.001941597493654093,-0.20882352941176663,-0.15294117647058858
