variant,size_class,board_id,target_row,target_col,target_number,rank,top1_hit,top3_hit,top5_hit,top10_hit,spatial_applied,spatial_affected_count,spatial_total_penalty,topk_max_cluster_size,topk_adjacent_pair_rate
baseline,5x5,5x5_1,3,4,21,5,0,0,1,1,0,0,0.0,8.0,0.24444444444444444
baseline,5x5,5x5_1,5,4,20,3,0,1,1,1,0,0,0.0,8.0,0.24444444444444444
baseline,5x5,5x5_1,1,2,23,10,0,0,0,1,0,0,0.0,8.0,0.24444444444444444
baseline,5x5,5x5_1,4,5,3,12,0,0,0,0,0,0,0.0,6.0,0.15555555555555556
baseline,5x5,5x5_1,5,3,12,10,0,0,0,1,0,0,0.0,8.0,0.24444444444444444
baseline,5x5,5x5_1,3,5,1,11,0,0,0,0,0,0,0.0,6.0,0.15555555555555556
baseline,5x5,5x5_1,1,4,19,11,0,0,0,0,0,0,0.0,8.0,0.24444444444444444
baseline,8x10,8x10_0,6,7,1,16,0,0,0,0,0,0,0.0,2.0,0.08888888888888889
baseline,8x10,8x10_0,6,1,45,23,0,0,0,0,0,0,0.0,6.0,0.15555555555555556
baseline,8x10,8x10_0,8,9,72,1,1,1,1,1,0,0,0.0,8.0,0.2
baseline,8x10,8x10_0,7,2,50,33,0,0,0,0,0,0,0.0,5.0,0.2
baseline,8x10,8x10_0,3,3,69,40,0,0,0,0,0,0,0.0,7.0,0.2
baseline,8x10,8x10_0,8,10,57,9,0,0,0,1,0,0,0.0,5.0,0.24444444444444444
baseline,8x10,8x10_0,1,8,41,16,0,0,0,0,0,0,0.0,5.0,0.13333333333333333
baseline,8x10,8x10_0,4,9,60,21,0,0,0,0,0,0,0.0,6.0,0.2222222222222222
baseline,8x10,8x10_0,6,8,61,9,0,0,0,1,0,0,0.0,7.0,0.2
baseline,8x10,8x10_0,7,9,73,6,0,0,0,1,0,0,0.0,8.0,0.24444444444444444
baseline,8x10,8x10_0,7,5,9,30,0,0,0,0,0,0,0.0,4.0,0.08888888888888889
baseline,8x10,8x10_0,2,2,15,24,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,8x10,8x10_0,6,4,74,15,0,0,0,0,0,0,0.0,7.0,0.2
baseline,8x10,8x10_0,5,9,46,21,0,0,0,0,0,0,0.0,6.0,0.2
baseline,8x10,8x10_0,2,10,38,30,0,0,0,0,0,0,0.0,5.0,0.13333333333333333
baseline,8x10,8x10_0,4,6,55,11,0,0,0,0,0,0,0.0,6.0,0.2222222222222222
baseline,8x10,8x10_0,3,2,33,19,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,8x10,8x10_0,6,10,66,6,0,0,0,1,0,0,0.0,7.0,0.2
baseline,8x10,8x10_0,2,7,5,20,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_0,3,10,76,22,0,0,0,0,0,0,0.0,7.0,0.2222222222222222
baseline,8x10,8x10_0,4,7,68,33,0,0,0,0,0,0,0.0,7.0,0.2
baseline,8x10,8x10_0,6,5,12,38,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,8x10,8x10_0,6,2,51,29,0,0,0,0,0,0,0.0,5.0,0.2
baseline,8x10,8x10_0,7,7,4,36,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_0,3,6,13,22,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,8x10,8x10_0,3,7,14,1,1,1,1,1,0,0,0.0,4.0,0.1111111111111111
baseline,8x10,8x10_0,4,8,17,22,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_0,5,4,71,21,0,0,0,0,0,0,0.0,8.0,0.2
baseline,8x10,8x10_0,3,9,36,34,0,0,0,0,0,0,0.0,4.0,0.08888888888888889
baseline,8x10,8x10_0,1,9,20,33,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_0,5,10,30,27,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_0,3,5,64,15,0,0,0,0,0,0,0.0,5.0,0.2
baseline,8x10,8x10_0,3,4,65,28,0,0,0,0,0,0,0.0,7.0,0.2
baseline,8x10,8x10_0,1,5,8,12,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_0,2,4,58,36,0,0,0,0,0,0,0.0,5.0,0.24444444444444444
baseline,8x10,8x10_0,3,8,27,37,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,8x10,8x10_0,8,8,32,35,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,8x10,8x10_0,4,2,52,36,0,0,0,0,0,0,0.0,5.0,0.24444444444444444
baseline,8x10,8x10_0,4,1,31,31,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,8x10,8x10_0,8,3,79,30,0,0,0,0,0,0,0.0,9.0,0.24444444444444444
baseline,8x10,8x10_1,7,10,68,13,0,0,0,0,0,0,0.0,9.0,0.2222222222222222
baseline,8x10,8x10_1,5,4,10,11,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,8x10,8x10_1,1,6,17,6,0,0,0,1,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,4,10,67,22,0,0,0,0,0,0,0.0,9.0,0.2222222222222222
baseline,8x10,8x10_1,4,4,34,38,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,8x10,8x10_1,6,1,21,24,0,0,0,0,0,0,0.0,3.0,0.06666666666666667
baseline,8x10,8x10_1,3,9,74,15,0,0,0,0,0,0,0.0,8.0,0.2
baseline,8x10,8x10_1,1,10,44,31,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,8x10,8x10_1,5,3,72,6,0,0,0,1,0,0,0.0,9.0,0.2222222222222222
baseline,8x10,8x10_1,7,4,18,39,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,8x10,8x10_1,6,8,31,32,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
