dropped_module,top5_hit_rate,corner_top10_hit_rate,edge_top10_hit_rate,center_top10_candidate_share,corner_mean_true_rank,edge_mean_true_rank
connectivity_heatmap,0.37681159420289856,0.6666666666666666,0.6818181818181818,0.6365054602184087,8.333333333333334,7.5
difference_trend,0.3188405797101449,0.6666666666666666,0.5,0.7020280811232449,7,9.772727272727273
focus_score,0.3333333333333333,0.6666666666666666,0.6363636363636364,0.672386895475819,9.333333333333334,8.181818181818182
local_arithmetic_relation,0.3188405797101449,0.6666666666666666,0.6363636363636364,0.6895475819032761,9,8.318181818181818
logic_rule,0.3188405797101449,0.6666666666666666,0.6363636363636364,0.6817472698907956,9.333333333333334,8.272727272727273
mirror_sequences,0.30434782608695654,0.6666666666666666,0.6363636363636364,0.6879875195007801,9,8.681818181818182
neighborhood_association,0.3333333333333333,0.6666666666666666,0.6363636363636364,0.6801872074882995,9.333333333333334,8.454545454545455
pattern_model,0.34782608695652173,0.6666666666666666,0.6363636363636364,0.6817472698907956,9.333333333333334,8.181818181818182
skip_patterns,0.36231884057971014,0.3333333333333333,0.5909090909090909,0.6755070202808112,11.666666666666666,7.818181818181818
structural_consistency,0.3188405797101449,0.3333333333333333,0.6818181818181818,0.7004680187207488,10.666666666666666,8.136363636363637
tail_analyzer,0.3188405797101449,0.6666666666666666,0.6363636363636364,0.6911076443057722,9,8.363636363636363
