遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙
賓果賓果,115000042,2026/01/01,255600,10224,154275,2,3,5,7,13,20,23,24,29,30,31,35,42,43,47,54,57,70,73,77,77,－,單
賓果賓果,115000043,2026/01/01,271400,10856,131000,5,14,18,25,27,28,31,32,38,41,42,45,49,58,62,71,72,74,75,79,79,－,－
賓果賓果,115000044,2026/01/01,267500,10700,98950,2,3,6,8,11,14,15,34,46,48,50,51,52,57,59,66,69,70,74,75,34,－,－
賓果賓果,115000045,2026/01/01,293725,11749,113225,3,5,9,10,17,20,23,24,25,36,37,41,46,49,54,56,57,59,68,72,10,－,－
賓果賓果,115000046,2026/01/01,298575,11943,104175,2,8,11,14,30,32,34,37,38,40,48,52,56,61,62,67,69,75,78,80,14,－,雙
賓果賓果,115000047,2026/01/01,273100,10924,266475,1,2,7,14,18,24,26,33,34,39,49,63,67,70,71,75,76,77,79,80,33,－,－
賓果賓果,115000048,2026/01/01,277725,11109,83225,3,10,15,18,20,21,38,40,41,43,54,55,58,61,63,68,69,70,72,75,68,－,－
賓果賓果,115000049,2026/01/01,281950,11278,149725,1,2,8,14,15,16,23,24,30,32,33,43,44,46,49,58,59,60,67,80,15,－,－
賓果賓果,115000050,2026/01/01,284375,11375,115200,2,3,8,9,11,12,14,15,31,39,46,47,49,54,58,61,63,66,75,76,61,－,－
賓果賓果,115000051,2026/01/01,286550,11462,79725,1,21,22,25,26,29,34,40,42,47,51,58,59,61,64,68,72,73,75,80,21,－,－
賓果賓果,115000052,2026/01/01,291925,11677,147725,1,11,17,18,19,20,21,23,24,38,43,49,52,55,59,60,70,73,76,78,49,－,－
賓果賓果,115000053,2026/01/01,293300,11732,65550,6,7,15,21,25,33,38,40,42,47,50,54,55,57,63,64,67,68,70,76,54,－,－
賓果賓果,115000054,2026/01/01,297075,11883,93575,4,14,16,18,19,23,36,39,40,48,53,54,59,64,65,67,70,74,75,80,04,－,－
賓果賓果,115000055,2026/01/01,297700,11908,81150,9,17,18,25,27,30,32,34,42,48,49,52,56,58,63,69,73,76,77,79,32,－,－
賓果賓果,115000056,2026/01/01,310925,12437,376025,2,7,9,11,13,15,17,19,20,24,26,33,37,41,43,47,53,57,70,73,20,小,單
賓果賓果,115000057,2026/01/01,305225,12209,144350,1,4,5,15,21,22,23,26,33,41,47,50,57,58,63,64,68,76,78,79,76,－,－
賓果賓果,115000058,2026/01/01,294975,11799,276400,2,17,18,19,20,26,34,37,43,44,49,58,60,65,66,69,70,78,79,80,78,－,－
賓果賓果,115000059,2026/01/01,300700,12028,152675,7,8,11,16,21,22,23,29,33,36,40,44,45,48,50,56,58,64,68,77,11,－,－
賓果賓果,115000060,2026/01/01,299650,11986,116650,2,7,12,13,19,22,23,26,31,32,40,44,45,46,49,50,55,59,66,70,70,－,－
賓果賓果,115000061,2026/01/01,293600,11744,174550,2,3,10,25,30,34,36,39,40,42,47,48,50,53,58,64,68,70,71,80,50,－,雙
賓果賓果,115000062,2026/01/01,304725,12189,233900,1,8,12,13,15,16,18,25,26,32,37,44,55,70,72,73,75,78,79,80,44,－,－
賓果賓果,115000063,2026/01/01,304900,12196,206175,3,6,8,12,13,21,22,24,28,34,37,38,44,49,61,66,75,76,77,79,34,－,－
賓果賓果,115000064,2026/01/01,312625,12505,151625,3,5,11,13,19,23,30,32,39,40,49,55,56,58,64,66,70,73,75,77,66,－,－
賓果賓果,115000065,2026/01/01,317025,12681,327725,1,6,7,9,16,17,21,25,26,27,30,32,37,46,48,53,55,65,70,78,06,小,－
賓果賓果,115000066,2026/01/01,307125,12285,208650,3,8,20,21,27,37,39,40,41,42,44,45,46,48,50,56,60,65,67,71,45,－,－
賓果賓果,115000067,2026/01/01,293525,11741,244075,6,8,9,11,16,17,21,23,25,35,44,50,51,52,53,54,58,62,70,76,35,－,－
賓果賓果,115000068,2026/01/01,310475,12419,240625,9,10,16,17,19,25,26,27,28,32,34,35,39,45,49,67,72,77,78,79,32,小,－
賓果賓果,115000069,2026/01/01,318025,12721,289675,7,10,16,19,21,25,29,33,35,36,37,38,44,45,47,60,63,69,71,79,21,－,單
賓果賓果,115000070,2026/01/01,307675,12307,199300,4,7,9,14,15,20,23,26,31,34,41,51,53,56,57,58,62,70,73,78,09,－,－
賓果賓果,115000071,2026/01/01,318375,12735,91950,3,14,15,18,32,36,37,40,41,44,45,47,50,53,57,58,59,62,65,77,40,－,－
賓果賓果,115000072,2026/01/01,325050,13002,167300,1,2,3,9,13,17,21,24,25,26,28,40,45,47,53,59,68,71,72,75,68,－,單
賓果賓果,115000073,2026/01/01,324150,12966,151575,4,12,15,16,17,21,22,30,40,41,42,44,50,55,65,66,71,72,76,78,72,－,雙
賓果賓果,115000074,2026/01/01,324250,12970,223150,1,5,8,12,13,22,24,25,26,34,38,42,45,49,50,59,64,66,67,70,22,－,－
賓果賓果,115000075,2026/01/01,321700,12868,108150,1,2,3,8,18,25,30,31,39,42,45,57,58,59,64,69,73,75,77,78,39,－,－
賓果賓果,115000076,2026/01/01,347050,13882,165650,1,3,4,9,20,21,26,36,41,45,47,48,49,55,58,69,72,75,78,79,20,－,－
賓果賓果,115000077,2026/01/01,355300,14212,139400,1,3,15,19,25,28,30,32,33,40,46,47,54,56,64,66,69,70,76,80,76,－,－
賓果賓果,115000078,2026/01/01,345850,13834,139750,3,7,14,17,21,24,28,29,30,31,40,41,49,50,57,61,63,67,74,76,49,－,－
賓果賓果,115000079,2026/01/01,325475,13019,327400,7,8,13,23,32,33,36,46,49,50,52,53,65,67,69,72,74,77,78,79,77,大,－
賓果賓果,115000080,2026/01/01,355475,14219,184825,1,4,6,7,11,20,26,31,33,34,36,44,45,50,54,58,59,68,69,75,69,－,－
賓果賓果,115000081,2026/01/01,318925,12757,131725,2,13,15,20,26,29,34,38,40,44,49,53,57,59,60,62,64,65,66,72,59,－,－
賓果賓果,115000082,2026/01/01,325600,13024,238675,4,6,8,11,12,14,17,21,22,26,34,37,40,42,43,61,62,66,67,72,17,小,雙
賓果賓果,115000083,2026/01/01,334025,13361,166075,2,3,8,12,13,20,25,26,31,32,35,36,53,59,61,66,67,68,69,77,32,－,－
賓果賓果,115000084,2026/01/01,322675,12907,223675,1,2,3,5,10,36,39,40,43,48,50,52,55,60,65,70,71,73,76,78,70,－,－
賓果賓果,115000085,2026/01/01,376000,15040,90050,2,6,12,15,20,21,24,27,30,35,42,43,44,53,54,60,67,70,71,77,43,－,－
賓果賓果,115000086,2026/01/01,343675,13747,149925,6,9,16,19,22,27,34,35,38,43,45,46,54,55,57,58,60,66,72,73,43,－,－
賓果賓果,115000087,2026/01/01,335700,13428,165375,5,7,8,9,12,21,22,26,29,31,32,38,43,46,50,51,59,60,67,77,21,－,－
賓果賓果,115000088,2026/01/01,340525,13621,148900,4,14,15,17,18,27,30,36,37,38,40,47,48,58,59,60,61,65,78,80,48,－,－
賓果賓果,115000089,2026/01/01,341050,13642,277125,2,11,16,28,31,41,42,49,50,52,58,61,63,66,72,74,75,77,78,79,42,大,－
賓果賓果,115000090,2026/01/01,356000,14240,109675,4,11,12,15,30,31,32,34,44,47,48,55,56,59,60,68,71,74,75,79,44,－,－
賓果賓果,115000091,2026/01/01,338725,13549,201175,1,7,12,13,16,22,23,25,30,36,38,45,48,49,51,53,61,64,67,73,13,－,－
賓果賓果,115000092,2026/01/01,344325,13773,229575,2,3,10,13,17,18,21,23,25,26,33,36,38,40,54,58,60,62,67,78,62,小,－
賓果賓果,115000093,2026/01/01,339925,13597,191550,3,12,15,16,18,22,26,27,28,32,36,37,40,41,55,56,59,71,74,80,16,小,－
賓果賓果,115000094,2026/01/01,341125,13645,210275,6,9,13,16,20,21,23,24,26,32,35,37,38,41,45,58,64,73,76,78,35,小,－
賓果賓果,115000095,2026/01/01,346200,13848,164450,1,15,17,19,27,31,32,39,46,47,51,52,54,55,59,62,66,69,75,78,31,－,單
賓果賓果,115000096,2026/01/01,340250,13610,143450,6,10,14,15,22,28,32,34,43,46,49,57,58,60,64,65,68,71,78,79,65,－,雙
賓果賓果,115000097,2026/01/01,330075,13203,203500,6,7,11,19,23,25,28,36,44,45,48,51,56,57,58,59,60,63,68,76,11,－,－
賓果賓果,115000098,2026/01/01,329500,13180,132000,4,7,12,17,20,23,24,28,29,34,35,36,47,50,53,56,69,71,74,78,35,－,－
賓果賓果,115000099,2026/01/01,352275,14091,275925,7,9,11,12,17,21,22,23,26,32,37,50,52,55,58,67,72,77,78,79,50,－,－
賓果賓果,115000100,2026/01/01,336800,13472,154625,5,21,22,23,25,28,37,40,41,43,44,46,50,52,54,56,57,66,67,75,57,－,－
賓果賓果,115000101,2026/01/01,336950,13478,231225,3,5,13,15,19,22,23,27,33,39,46,53,54,56,59,60,62,63,79,80,56,－,單
賓果賓果,115000102,2026/01/01,347725,13909,210775,6,8,10,15,16,17,19,24,26,32,39,40,46,48,55,62,70,71,77,80,17,－,雙
賓果賓果,115000103,2026/01/01,341850,13674,322825,8,10,13,15,16,26,31,32,33,34,35,37,38,42,53,57,63,67,74,78,35,小,－
賓果賓果,115000104,2026/01/01,346300,13852,181825,1,7,10,16,20,21,25,31,32,34,36,42,51,52,53,56,59,69,71,75,32,－,－
賓果賓果,115000105,2026/01/01,333175,13327,162700,5,12,18,29,30,31,32,35,41,52,53,54,55,60,64,65,66,72,77,79,65,－,－
賓果賓果,115000106,2026/01/01,348550,13942,104575,3,6,9,14,16,19,20,21,25,26,30,50,57,62,65,70,72,74,76,79,14,－,－
賓果賓果,115000107,2026/01/01,342900,13716,133125,5,8,17,18,23,25,29,33,36,43,47,53,55,63,64,66,70,75,76,77,43,－,單
賓果賓果,115000108,2026/01/01,350375,14015,142125,4,6,11,16,18,20,21,23,35,36,41,49,52,53,56,57,58,64,66,71,64,－,－
